COD_SUOLO,DESC_SUOLO,English_Name,HRL_Code,HRL_Name,Confidence,Matched_By,Is_Excluded
001,GRANTURCO (MAIS),Maize (corn),1130.0,Maize,very_high,manual_override,False
666,SEMINATIVI,Arable crops,,,none,no_match,False
004,SOIA,Soybean,1420.0,Soybeans,very_high,manual_override,False
002,GRANO (FRUMENTO) DURO,Durum wheat,1110.0,Wheat,very_high,manual_override,False
240,BARBABIETOLA,Beetroot / Swiss chard,1320.0,Sugar Beet,very_high,manual_override,False
651,COLTIVAZIONI ARBOREE SPECIALIZZATE,Specialized tree crops,,,none,no_match,False
587,GRANO (FRUMENTO) TENERO,Soft wheat,1110.0,Wheat,very_high,manual_override,False
562,ERBA MEDICA,Alfalfa,,,none,no_match,False
650,BOSCO,Woodland,,,none,no_match,False
685,COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE),Mixed tree crops,,,none,no_match,False
410,VITE,Vine (grapevine),2100.0,Grapes,very_high,manual_override,False
189,PERO,Pear,1220.0,Dry pulses,high,english:pea,False
673,SUSINO,Plum,2310.0,Fruits,high,italian:susino,False
831,ACTINIDIA (KIWI),Kiwi,2310.0,Fruits,high,italian:kiwi,False
044,MELO,Apple,2310.0,Fruits,high,italian:melo,False
500,ARBORICOLTURA,Arboriculture,,,none,no_match,False
083,TOPINAMBUR,Jerusalem artichoke,1210.0,Fresh Vegetables,high,english:artichoke,False
131,ORTIVE A PIENO CAMPO,Open-field vegetables,1210.0,Fresh Vegetables,high,english:vegetable,False
940,ZUCCA,Pumpkin,,,none,no_match,False
336,PRATO POLIFITA,Mixed grassland,,,none,no_match,False
003,COLZA,Rapeseed,1430.0,Rapeseed,high,italian:colza,False
801,PESCO,Peach,1220.0,Dry pulses,high,english:pea,False
134,POMODORO,Tomato,1210.0,Fresh Vegetables,high,italian:pomodoro,False
121,FAGIOLINO,Green bean,1220.0,Dry pulses,high,english:bean,False
783,ALBERI IN FILARE,Trees in rows,,,none,no_match,False
693,SORGO,Sorghum,1150.0,Other cereals,high,italian:sorgo,False
785,GRUPPI DI ALBERI E BOSCHETTI,Groups of trees and groves,,,none,no_match,False
127,LATTUGA LATTUGHINO,Lettuce,1210.0,Fresh Vegetables,high,italian:lattuga,False
357,ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA')),Alfalfa,,,none,no_match,False
924,COCOMERO,Watermelon,1210.0,Fresh Vegetables,high,italian:cocomero,False
870,ORZO,Barley,1120.0,Barley,high,italian:orzo,False
027,CAROTA,Carrot,1210.0,Fresh Vegetables,high,italian:carota,False
671,ALBICOCCO,Apricot,2310.0,Fruits,high,italian:albicocco,False
804,PESCO NETTARINA,Nectarine,2310.0,Fruits,high,italian:pesco,False
902,ASPARAGO,Asparagus,1210.0,Fresh Vegetables,high,italian:asparago,False
046,LOIETTO LOGLIO,Ryegrass,1150.0,Other cereals,high,english:rye,False
065,PASCOLO POLIFITA,Mixed pasture,,,none,no_match,False
710,PATATA,Potato,1310.0,Potatoes,high,italian:patata,False
020,PISELLO,Pea,1220.0,Dry pulses,high,italian:pisello,False
793,ALBERI ISOLATI,Isolated trees,,,none,no_match,False
660,MANUFATTI,Manufactured goods,,,none,no_match,False
130,MELONE,Melon,1210.0,Fresh Vegetables,high,italian:melone,False
722,MISCUGLIO DI AZOTOFISSATRICI,Nitrogen-fixing crop mix,,,none,no_match,False
122,FAGIOLO,Bean,1220.0,Dry pulses,high,italian:fagiolo,False
630,ARACHIDE,Peanut,1220.0,Dry pulses,high,english:pea,False
009,FARRO,Emmer,1150.0,Other cereals,high,italian:farro,False
544,CECE,Chickpea,1220.0,Dry pulses,high,italian:cece,False
016,LENTICCHIE,Lentil,1220.0,Dry pulses,high,english:lentil,False
656,POMODORINO,Cherry tomato,1210.0,Fresh Vegetables,high,english:tomato,False
936,RAVANELLO,Radish,,,none,no_match,False
672,CILIEGIO,Cherry,2310.0,Fruits,high,italian:ciliegio,False
028,CAVOLO,Cabbage,1210.0,Fresh Vegetables,high,italian:cavolo,False
019,RISONE,Rice,1140.0,Rice,high,italian:riso,False
069,PIOPPO,Poplar,,,none,no_match,False
495,NOCE,Walnut,2320.0,Nuts,high,italian:noce,False
927,FRAGOLA,Strawberry,1210.0,Fresh Vegetables,high,italian:fragola,False
113,AGLIO,Garlic,1210.0,Fresh Vegetables,high,italian:aglio,False
800,ERBAIO,Green fodder,,,none,no_match,False
188,PAULOWNIA TOMENTOSA,Empress tree (Paulownia),,,none,no_match,False
420,OLIVO,Olive,2200.0,Olives,high,italian:olivo,False
005,GIRASOLE,Sunflower,1410.0,Sunflower,high,italian:girasole,False
152,TRIFOGLIO,Clover,,,none,no_match,False
921,CIPOLLA ANCHE DI TIPO LUNGO (echalion),Onion (including shallot type),1210.0,Fresh Vegetables,high,italian:cipolla,False
332,FACELIA,Phacelia,,,none,no_match,False
966,SALVIA,Sage,,,none,no_match,False
392,ORTICA,Nettle,,,none,no_match,False
394,PASSIFLORA,Passionflower,,,none,no_match,False
933,PREZZEMOLO,Parsley,,,none,no_match,False
